Talk ={

a1="赤羽这个小娃娃不懂事，去帮我一顿！",f1="我打完了",c1="",r1="",s1="",t1="",
a8214="你来得正好，有个任务要交给你！",f8214="为了世族！",c8214="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8215="你来得正好，有个任务要交给你！",f8215="为了世族！",c8215="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8216="你来得正好，有个任务要交给你！",f8216="为了世族！",c8216="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8217="你来得正好，有个任务要交给你！",f8217="为了世族！",c8217="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8218="你来得正好，有个任务要交给你！",f8218="为了世族！",c8218="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8219="你来得正好，有个任务要交给你！",f8219="为了世族！",c8219="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8220="你来得正好，有个任务要交给你！",f8220="为了世族！",c8220="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8221="你来得正好，有个任务要交给你！",f8221="为了世族！",c8221="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8222="你来得正好，有个任务要交给你！",f8222="为了世族！",c8222="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8223="你来得正好，有个任务要交给你！",f8223="为了世族！",c8223="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8224="你来得正好，有个任务要交给你！",f8224="为了世族！",c8224="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8225="你来得正好，有个任务要交给你！",f8225="为了世族！",c8225="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8226="你来得正好，有个任务要交给你！",f8226="为了世族！",c8226="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8227="你来得正好，有个任务要交给你！",f8227="为了世族！",c8227="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8228="你来得正好，有个任务要交给你！",f8228="为了世族！",c8228="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8229="你来得正好，有个任务要交给你！",f8229="为了世族！",c8229="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8230="你来得正好，有个任务要交给你！",f8230="为了世族！",c8230="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8231="你来得正好，有个任务要交给你！",f8231="为了世族！",c8231="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8232="你来得正好，有个任务要交给你！",f8232="为了世族！",c8232="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8233="你来得正好，有个任务要交给你！",f8233="为了世族！",c8233="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8234="你来得正好，有个任务要交给你！",f8234="为了世族！",c8234="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8235="你来得正好，有个任务要交给你！",f8235="为了世族！",c8235="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8236="你来得正好，有个任务要交给你！",f8236="为了世族！",c8236="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8237="你来得正好，有个任务要交给你！",f8237="为了世族！",c8237="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8238="你来得正好，有个任务要交给你！",f8238="为了世族！",c8238="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8239="你来得正好，有个任务要交给你！",f8239="为了世族！",c8239="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8240="你来得正好，有个任务要交给你！",f8240="为了世族！",c8240="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8241="你来得正好，有个任务要交给你！",f8241="为了世族！",c8241="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8242="你来得正好，有个任务要交给你！",f8242="为了世族！",c8242="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8243="你来得正好，有个任务要交给你！",f8243="为了世族！",c8243="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8244="你来得正好，有个任务要交给你！",f8244="为了世族！",c8244="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8245="你来得正好，有个任务要交给你！",f8245="为了世族！",c8245="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8246="你来得正好，有个任务要交给你！",f8246="为了世族！",c8246="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8247="你来得正好，有个任务要交给你！",f8247="为了世族！",c8247="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8248="你来得正好，有个任务要交给你！",f8248="为了世族！",c8248="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8249="你来得正好，有个任务要交给你！",f8249="为了世族！",c8249="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8250="你来得正好，有个任务要交给你！",f8250="为了世族！",c8250="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8251="你来得正好，有个任务要交给你！",f8251="为了世族！",c8251="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8252="你来得正好，有个任务要交给你！",f8252="为了世族！",c8252="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8253="你来得正好，有个任务要交给你！",f8253="为了世族！",c8253="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8254="你来得正好，有个任务要交给你！",f8254="为了世族！",c8254="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8255="你来得正好，有个任务要交给你！",f8255="为了世族！",c8255="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8256="你来得正好，有个任务要交给你！",f8256="为了世族！",c8256="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8257="你来得正好，有个任务要交给你！",f8257="为了世族！",c8257="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8258="你来得正好，有个任务要交给你！",f8258="为了世族！",c8258="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8259="你来得正好，有个任务要交给你！",f8259="为了世族！",c8259="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8260="你来得正好，有个任务要交给你！",f8260="为了世族！",c8260="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8261="你来得正好，有个任务要交给你！",f8261="为了世族！",c8261="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8262="你来得正好，有个任务要交给你！",f8262="为了世族！",c8262="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8263="你来得正好，有个任务要交给你！",f8263="为了世族！",c8263="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8264="你来得正好，有个任务要交给你！",f8264="为了世族！",c8264="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8265="你来得正好，有个任务要交给你！",f8265="为了世族！",c8265="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8266="你来得正好，有个任务要交给你！",f8266="为了世族！",c8266="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8267="你来得正好，有个任务要交给你！",f8267="为了世族！",c8267="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8268="你来得正好，有个任务要交给你！",f8268="为了世族！",c8268="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8269="你来得正好，有个任务要交给你！",f8269="为了世族！",c8269="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8270="你来得正好，有个任务要交给你！",f8270="为了世族！",c8270="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8271="你来得正好，有个任务要交给你！",f8271="为了世族！",c8271="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8272="你来得正好，有个任务要交给你！",f8272="为了世族！",c8272="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8273="你来得正好，有个任务要交给你！",f8273="为了世族！",c8273="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8274="你来得正好，有个任务要交给你！",f8274="为了世族！",c8274="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8275="你来得正好，有个任务要交给你！",f8275="为了世族！",c8275="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8276="你来得正好，有个任务要交给你！",f8276="为了世族！",c8276="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8277="你来得正好，有个任务要交给你！",f8277="为了世族！",c8277="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8278="你来得正好，有个任务要交给你！",f8278="为了世族！",c8278="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8279="你来得正好，有个任务要交给你！",f8279="为了世族！",c8279="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8280="你来得正好，有个任务要交给你！",f8280="为了世族！",c8280="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8281="你来得正好，有个任务要交给你！",f8281="为了世族！",c8281="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8282="你来得正好，有个任务要交给你！",f8282="为了世族！",c8282="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8283="你来得正好，有个任务要交给你！",f8283="为了世族！",c8283="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8284="你来得正好，有个任务要交给你！",f8284="为了世族！",c8284="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8285="你来得正好，有个任务要交给你！",f8285="为了世族！",c8285="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8286="你来得正好，有个任务要交给你！",f8286="为了世族！",c8286="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8287="你来得正好，有个任务要交给你！",f8287="为了世族！",c8287="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8288="你来得正好，有个任务要交给你！",f8288="为了世族！",c8288="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8289="你来得正好，有个任务要交给你！",f8289="为了世族！",c8289="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8290="你来得正好，有个任务要交给你！",f8290="为了世族！",c8290="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8291="你来得正好，有个任务要交给你！",f8291="为了世族！",c8291="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8292="你来得正好，有个任务要交给你！",f8292="为了世族！",c8292="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8293="你来得正好，有个任务要交给你！",f8293="为了世族！",c8293="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8294="你来得正好，有个任务要交给你！",f8294="为了世族！",c8294="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8295="你来得正好，有个任务要交给你！",f8295="为了世族！",c8295="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8296="你来得正好，有个任务要交给你！",f8296="为了世族！",c8296="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8297="你来得正好，有个任务要交给你！",f8297="为了世族！",c8297="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8298="你来得正好，有个任务要交给你！",f8298="为了世族！",c8298="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8299="你来得正好，有个任务要交给你！",f8299="为了世族！",c8299="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8300="你来得正好，有个任务要交给你！",f8300="为了世族！",c8300="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8301="你来得正好，有个任务要交给你！",f8301="为了世族！",c8301="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8302="你来得正好，有个任务要交给你！",f8302="为了世族！",c8302="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8303="你来得正好，有个任务要交给你！",f8303="为了世族！",c8303="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8304="你来得正好，有个任务要交给你！",f8304="为了世族！",c8304="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8305="你来得正好，有个任务要交给你！",f8305="为了世族！",c8305="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8306="你来得正好，有个任务要交给你！",f8306="为了世族！",c8306="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8307="你来得正好，有个任务要交给你！",f8307="为了世族！",c8307="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8308="你来得正好，有个任务要交给你！",f8308="为了世族！",c8308="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8309="你来得正好，有个任务要交给你！",f8309="为了世族！",c8309="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8310="你来得正好，有个任务要交给你！",f8310="为了世族！",c8310="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8311="你来得正好，有个任务要交给你！",f8311="为了世族！",c8311="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8312="你来得正好，有个任务要交给你！",f8312="为了世族！",c8312="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8313="你来得正好，有个任务要交给你！",f8313="为了世族！",c8313="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8314="你来得正好，有个任务要交给你！",f8314="为了世族！",c8314="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8315="你来得正好，有个任务要交给你！",f8315="为了世族！",c8315="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8316="你来得正好，有个任务要交给你！",f8316="为了世族！",c8316="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8317="你来得正好，有个任务要交给你！",f8317="为了世族！",c8317="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8318="你来得正好，有个任务要交给你！",f8318="为了世族！",c8318="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8319="你来得正好，有个任务要交给你！",f8319="为了世族！",c8319="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8320="你来得正好，有个任务要交给你！",f8320="为了世族！",c8320="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8321="你来得正好，有个任务要交给你！",f8321="为了世族！",c8321="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8322="你来得正好，有个任务要交给你！",f8322="为了世族！",c8322="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8323="你来得正好，有个任务要交给你！",f8323="为了世族！",c8323="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8324="你来得正好，有个任务要交给你！",f8324="为了世族！",c8324="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8325="你来得正好，有个任务要交给你！",f8325="为了世族！",c8325="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8326="你来得正好，有个任务要交给你！",f8326="为了世族！",c8326="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8327="你来得正好，有个任务要交给你！",f8327="为了世族！",c8327="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8328="你来得正好，有个任务要交给你！",f8328="为了世族！",c8328="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8329="你来得正好，有个任务要交给你！",f8329="为了世族！",c8329="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8330="你来得正好，有个任务要交给你！",f8330="为了世族！",c8330="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8331="你来得正好，有个任务要交给你！",f8331="为了世族！",c8331="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8332="你来得正好，有个任务要交给你！",f8332="为了世族！",c8332="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8333="你来得正好，有个任务要交给你！",f8333="为了世族！",c8333="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8334="你来得正好，有个任务要交给你！",f8334="为了世族！",c8334="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8335="你来得正好，有个任务要交给你！",f8335="为了世族！",c8335="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8336="你来得正好，有个任务要交给你！",f8336="为了世族！",c8336="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8337="你来得正好，有个任务要交给你！",f8337="为了世族！",c8337="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8338="你来得正好，有个任务要交给你！",f8338="为了世族！",c8338="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8339="你来得正好，有个任务要交给你！",f8339="为了世族！",c8339="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8340="你来得正好，有个任务要交给你！",f8340="为了世族！",c8340="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8341="你来得正好，有个任务要交给你！",f8341="为了世族！",c8341="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8342="你来得正好，有个任务要交给你！",f8342="为了世族！",c8342="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8343="你来得正好，有个任务要交给你！",f8343="为了世族！",c8343="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8344="你来得正好，有个任务要交给你！",f8344="为了世族！",c8344="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8345="你来得正好，有个任务要交给你！",f8345="为了世族！",c8345="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8346="你来得正好，有个任务要交给你！",f8346="为了世族！",c8346="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8347="你来得正好，有个任务要交给你！",f8347="为了世族！",c8347="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8348="你来得正好，有个任务要交给你！",f8348="为了世族！",c8348="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8349="你来得正好，有个任务要交给你！",f8349="为了世族！",c8349="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8350="你来得正好，有个任务要交给你！",f8350="为了世族！",c8350="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8351="你来得正好，有个任务要交给你！",f8351="为了世族！",c8351="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8352="你来得正好，有个任务要交给你！",f8352="为了世族！",c8352="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8353="你来得正好，有个任务要交给你！",f8353="为了世族！",c8353="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8354="你来得正好，有个任务要交给你！",f8354="为了世族！",c8354="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8355="你来得正好，有个任务要交给你！",f8355="为了世族！",c8355="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8356="你来得正好，有个任务要交给你！",f8356="为了世族！",c8356="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8357="你来得正好，有个任务要交给你！",f8357="为了世族！",c8357="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8358="你来得正好，有个任务要交给你！",f8358="为了世族！",c8358="身为世族的一份子，为世族贡献出自己的力量，义不容辞！",
a8359="少年，想赚些外快吗？",f8359="干得好，这是给你的报酬！",c8359="要努力了哦，少年！",
a8360="少年，想赚些外快吗？",f8360="干得好，这是给你的报酬！",c8360="要努力了哦，少年！",
a8361="少年，想赚些外快吗？",f8361="干得好，这是给你的报酬！",c8361="要努力了哦，少年！",
a8362="少年，想赚些外快吗？",f8362="干得好，这是给你的报酬！",c8362="要努力了哦，少年！",
a8363="少年，想赚些外快吗？",f8363="干得好，这是给你的报酬！",c8363="要努力了哦，少年！",
a8364="少年，想赚些外快吗？",f8364="干得好，这是给你的报酬！",c8364="要努力了哦，少年！",
a8365="少年，想赚些外快吗？",f8365="干得好，这是给你的报酬！",c8365="要努力了哦，少年！",
a8366="少年，想赚些外快吗？",f8366="干得好，这是给你的报酬！",c8366="要努力了哦，少年！",
a8367="少年，想赚些外快吗？",f8367="干得好，这是给你的报酬！",c8367="要努力了哦，少年！",
a8368="少年，想赚些外快吗？",f8368="干得好，这是给你的报酬！",c8368="要努力了哦，少年！",
a8369="少年，想赚些外快吗？",f8369="干得好，这是给你的报酬！",c8369="要努力了哦，少年！",
a8370="少年，想赚些外快吗？",f8370="干得好，这是给你的报酬！",c8370="要努力了哦，少年！",
a8371="少年，想赚些外快吗？",f8371="干得好，这是给你的报酬！",c8371="要努力了哦，少年！",
a8372="少年，想赚些外快吗？",f8372="干得好，这是给你的报酬！",c8372="要努力了哦，少年！",
a8373="少年，想赚些外快吗？",f8373="干得好，这是给你的报酬！",c8373="要努力了哦，少年！",
a8374="少年，想赚些外快吗？",f8374="干得好，这是给你的报酬！",c8374="要努力了哦，少年！",
a8375="少年，想赚些外快吗？",f8375="干得好，这是给你的报酬！",c8375="要努力了哦，少年！",
a8376="少年，想赚些外快吗？",f8376="干得好，这是给你的报酬！",c8376="要努力了哦，少年！",
a8377="少年，想赚些外快吗？",f8377="干得好，这是给你的报酬！",c8377="要努力了哦，少年！",
a8378="少年，想赚些外快吗？",f8378="干得好，这是给你的报酬！",c8378="要努力了哦，少年！",
a8379="少年，想赚些外快吗？",f8379="干得好，这是给你的报酬！",c8379="要努力了哦，少年！",
a8380="少年，想赚些外快吗？",f8380="干得好，这是给你的报酬！",c8380="要努力了哦，少年！",
a8381="少年，想赚些外快吗？",f8381="干得好，这是给你的报酬！",c8381="要努力了哦，少年！",
a8382="少年，想赚些外快吗？",f8382="干得好，这是给你的报酬！",c8382="要努力了哦，少年！",
a8383="少年，想赚些外快吗？",f8383="干得好，这是给你的报酬！",c8383="要努力了哦，少年！",
a8384="少年，想赚些外快吗？",f8384="干得好，这是给你的报酬！",c8384="要努力了哦，少年！",
a8385="少年，想赚些外快吗？",f8385="干得好，这是给你的报酬！",c8385="要努力了哦，少年！",
a8386="少年，想赚些外快吗？",f8386="干得好，这是给你的报酬！",c8386="要努力了哦，少年！",
a8387="少年，想赚些外快吗？",f8387="干得好，这是给你的报酬！",c8387="要努力了哦，少年！",
a8388="少年，想赚些外快吗？",f8388="干得好，这是给你的报酬！",c8388="要努力了哦，少年！",
a8389="少年，想赚些外快吗？",f8389="干得好，这是给你的报酬！",c8389="要努力了哦，少年！",
a8390="少年，想赚些外快吗？",f8390="干得好，这是给你的报酬！",c8390="要努力了哦，少年！",
a8391="少年，想赚些外快吗？",f8391="干得好，这是给你的报酬！",c8391="要努力了哦，少年！",
a8392="少年，想赚些外快吗？",f8392="干得好，这是给你的报酬！",c8392="要努力了哦，少年！",
a8393="少年，想赚些外快吗？",f8393="干得好，这是给你的报酬！",c8393="要努力了哦，少年！",
a8394="少年，想赚些外快吗？",f8394="干得好，这是给你的报酬！",c8394="要努力了哦，少年！",
a8395="少年，想赚些外快吗？",f8395="干得好，这是给你的报酬！",c8395="要努力了哦，少年！",
a8396="少年，想赚些外快吗？",f8396="干得好，这是给你的报酬！",c8396="要努力了哦，少年！",
a8397="少年，想赚些外快吗？",f8397="干得好，这是给你的报酬！",c8397="要努力了哦，少年！",
a8398="少年，想赚些外快吗？",f8398="干得好，这是给你的报酬！",c8398="要努力了哦，少年！",
a8399="少年，想赚些外快吗？",f8399="干得好，这是给你的报酬！",c8399="要努力了哦，少年！",
a8400="少年，想赚些外快吗？",f8400="干得好，这是给你的报酬！",c8400="要努力了哦，少年！",
a8401="少年，想赚些外快吗？",f8401="干得好，这是给你的报酬！",c8401="要努力了哦，少年！",
a8402="少年，想赚些外快吗？",f8402="干得好，这是给你的报酬！",c8402="要努力了哦，少年！",
a8403="少年，想赚些外快吗？",f8403="干得好，这是给你的报酬！",c8403="要努力了哦，少年！",
a8404="少年，想赚些外快吗？",f8404="干得好，这是给你的报酬！",c8404="要努力了哦，少年！",
a8405="少年，想赚些外快吗？",f8405="干得好，这是给你的报酬！",c8405="要努力了哦，少年！",
a8406="少年，想赚些外快吗？",f8406="干得好，这是给你的报酬！",c8406="要努力了哦，少年！",
a8407="少年，想赚些外快吗？",f8407="干得好，这是给你的报酬！",c8407="要努力了哦，少年！",
a8408="少年，想赚些外快吗？",f8408="干得好，这是给你的报酬！",c8408="要努力了哦，少年！",
a8409="少年，想赚些外快吗？",f8409="干得好，这是给你的报酬！",c8409="要努力了哦，少年！",
a8410="少年，想赚些外快吗？",f8410="干得好，这是给你的报酬！",c8410="要努力了哦，少年！",
a8411="少年，想赚些外快吗？",f8411="干得好，这是给你的报酬！",c8411="要努力了哦，少年！",
a8412="少年，想赚些外快吗？",f8412="干得好，这是给你的报酬！",c8412="要努力了哦，少年！",
a8413="少年，想赚些外快吗？",f8413="干得好，这是给你的报酬！",c8413="要努力了哦，少年！",
a8414="少年，想赚些外快吗？",f8414="干得好，这是给你的报酬！",c8414="要努力了哦，少年！",
a8415="少年，想赚些外快吗？",f8415="干得好，这是给你的报酬！",c8415="要努力了哦，少年！",
a8416="少年，想赚些外快吗？",f8416="干得好，这是给你的报酬！",c8416="要努力了哦，少年！",
a8417="少年，想赚些外快吗？",f8417="干得好，这是给你的报酬！",c8417="要努力了哦，少年！",
a8418="少年，想赚些外快吗？",f8418="干得好，这是给你的报酬！",c8418="要努力了哦，少年！",
a8419="少年，想赚些外快吗？",f8419="干得好，这是给你的报酬！",c8419="要努力了哦，少年！",
a8420="少年，想赚些外快吗？",f8420="干得好，这是给你的报酬！",c8420="要努力了哦，少年！",
a8421="少年，想赚些外快吗？",f8421="干得好，这是给你的报酬！",c8421="要努力了哦，少年！",
a8422="少年，想赚些外快吗？",f8422="干得好，这是给你的报酬！",c8422="要努力了哦，少年！",
a8423="少年，想赚些外快吗？",f8423="干得好，这是给你的报酬！",c8423="要努力了哦，少年！",
a8424="少年，想赚些外快吗？",f8424="干得好，这是给你的报酬！",c8424="要努力了哦，少年！",
a8425="少年，想赚些外快吗？",f8425="干得好，这是给你的报酬！",c8425="要努力了哦，少年！",
a8426="少年，想赚些外快吗？",f8426="干得好，这是给你的报酬！",c8426="要努力了哦，少年！",
a8427="少年，想赚些外快吗？",f8427="干得好，这是给你的报酬！",c8427="要努力了哦，少年！",
a8428="少年，想赚些外快吗？",f8428="干得好，这是给你的报酬！",c8428="要努力了哦，少年！",
a8429="少年，想赚些外快吗？",f8429="干得好，这是给你的报酬！",c8429="要努力了哦，少年！",
a8430="少年，想赚些外快吗？",f8430="干得好，这是给你的报酬！",c8430="要努力了哦，少年！",
a8431="少年，想赚些外快吗？",f8431="干得好，这是给你的报酬！",c8431="要努力了哦，少年！",
a8432="少年，想赚些外快吗？",f8432="干得好，这是给你的报酬！",c8432="要努力了哦，少年！",
a8433="少年，想赚些外快吗？",f8433="干得好，这是给你的报酬！",c8433="要努力了哦，少年！",
a8434="少年，想赚些外快吗？",f8434="干得好，这是给你的报酬！",c8434="要努力了哦，少年！",
a8435="少年，想赚些外快吗？",f8435="干得好，这是给你的报酬！",c8435="要努力了哦，少年！",
a8436="少年，想赚些外快吗？",f8436="干得好，这是给你的报酬！",c8436="要努力了哦，少年！",
a8437="少年，想赚些外快吗？",f8437="干得好，这是给你的报酬！",c8437="要努力了哦，少年！",
a8438="少年，想赚些外快吗？",f8438="干得好，这是给你的报酬！",c8438="要努力了哦，少年！",
a8439="少年，想赚些外快吗？",f8439="干得好，这是给你的报酬！",c8439="要努力了哦，少年！",
a8440="少年，想赚些外快吗？",f8440="干得好，这是给你的报酬！",c8440="要努力了哦，少年！",
a8441="少年，想赚些外快吗？",f8441="干得好，这是给你的报酬！",c8441="要努力了哦，少年！",
a8442="少年，想赚些外快吗？",f8442="干得好，这是给你的报酬！",c8442="要努力了哦，少年！",
a8443="少年，想赚些外快吗？",f8443="干得好，这是给你的报酬！",c8443="要努力了哦，少年！",
a8444="少年，想赚些外快吗？",f8444="干得好，这是给你的报酬！",c8444="要努力了哦，少年！",
a8445="少年，想赚些外快吗？",f8445="干得好，这是给你的报酬！",c8445="要努力了哦，少年！",
a8446="少年，想赚些外快吗？",f8446="干得好，这是给你的报酬！",c8446="要努力了哦，少年！",
a8447="少年，想赚些外快吗？",f8447="干得好，这是给你的报酬！",c8447="要努力了哦，少年！",
a8448="少年，想赚些外快吗？",f8448="干得好，这是给你的报酬！",c8448="要努力了哦，少年！",
a8449="少年，想赚些外快吗？",f8449="干得好，这是给你的报酬！",c8449="要努力了哦，少年！",
